,Location,Average Salary by Location ($CLP),Occupation,Average Salary for Each Occupation by Location($CLP),Average National Salary for Each Occupation ($CLP)
1311,"Menifee, Lake Elsinore & Canyon Lake Cities PUMA, CA",81281651.74516238,Physicians,715728118.4225353,418213885.2623563
1312,"Lincoln Trail Area Development District (West) PUMA, KY",81264502.80244347,Travel agents,815295884.8301886,59599994.26102409
1313,"Orange & Hardin Counties PUMA, TX",81259452.58588813,"Firstline supervisors of landscaping, lawn service, & groundskeeping workers",958689670.5882354,61560745.6869894
1314,"Between Loop I-610 & Beltway TX-8 PUMA, TX (79500US4804611)",81258065.64143182,Firstline supervisors of nonretail sales workers,409696441.77777785,143109662.6477693
1315,"Sioux City PUMA, IA",81213815.69718972,Chief executives & legislators,597313310.8235295,285675917.3191395
1316,"Long Beach City (North) PUMA, CA",81173954.48350614,Economists,1157392453.3714285,231888052.86483282
1317,"McLean County PUMA, IL",81156257.47359465,Physicians,540353517.8238342,418213885.2623563
1318,"Redding City PUMA, CA",81117503.82089269,Electrical powerline installers & repairers,442472133.15555555,132427637.0014905
1319,"Phelan, Lake Arrowhead & Big Bear City PUMA, CA",81113278.15935375,Electrical powerline installers & repairers,450666055.99999994,132427637.0014905
1320,"Berrien County PUMA, MI",81086327.38047183,Medical & health services managers,688667357.4210527,150928545.6935578
1321,"Lackawanna (Outside Greater Scranton City) & Wyoming Counties PUMA, PA",81082328.60870115,Physicians,665661264.7526882,418213885.2623563
1322,"Miamisburg & West Carrollton Cities PUMA, OH",81080446.13641952,Aerospace engineers,348241959.48837215,188708334.9702543
1323,"Philadelphia City (East) PUMA, PA",81066528.83607267,Real estate brokers & sales agents,496589249.7279597,86949545.40354295
1324,"Buncombe County (Northwest) PUMA, NC",81035610.22274886,Other financial specialists,846023153.5384616,198319233.27190593
1325,"Morgantown City PUMA, WV",81034135.59182619,Physicians,409063204.7793923,418213885.2623563
1326,"Coon Rapids, Fridley & Columbia Heights Cities PUMA, MN",81026359.1981478,Computer & information systems managers,256060266.75,207310144.3027507
1327,"Hays County PUMA, TX",81003297.89286166,Architectural & engineering managers,749605138.4489796,271146679.44610673
1328,"Berks County (East) PUMA, PA",80990855.83103535,Physicians,377825544.6009853,418213885.2623563
1329,"Mobile City (West) PUMA, AL",80986203.27179077,Software developers,800956535.625,212761855.70685202
1330,"Oklahoma City (Northwest Central) & Bethany Cities PUMA, OK",80947787.02836762,Surgeons,846023116.9411764,571660495.1726127
1331,"Jacksonville City (Southwest) PUMA, FL",80934199.845724,"Weighers, measurers, checkers, & samplers, recordkeeping",975077499.6521739,61493172.03450799
1332,"Adams & Franklin (Southeast) Counties PUMA, PA",80901169.45613442,Surgeons,995562359.1627908,571660495.1726127
1333,"Philadelphia City (Far Northeast) PUMA, PA",80901167.97038646,"Cement masons, concrete finishers, & terrazzo workers",995562375.2195121,59082726.2669427
1334,"Memphis (East), Lakeland Cities & Arlington Town (South) PUMA, TN",80887527.96379276,Chief executives & legislators,554284160.8251429,285675917.3191395
1335,"Houston & Pulaski Counties PUMA, GA",80876818.43950382,Pharmacists,964835082.5142857,179214605.3943039
1336,"Genesee (West) & Shiawassee Counties PUMA, MI",80870374.14101891,Cost estimators,874701822.1578947,119224414.19934453
1337,"Victoria & Calhoun Counties PUMA, TX",80862839.96741955,Medical & health services managers,699448344.375,150928545.6935578
1338,"Roanoke Valley-Alleghany Regional Commission (Outside Roanoke & Salem Cities) PUMA, VA",80861336.77230838,Physicians,490309826.0090009,418213885.2623563
1339,"Oswego County PUMA, NY",80852847.87149164,Surgeons,1351998168.0,571660495.1726127
1340,"Austin City (Southeast) PUMA, TX",80822986.84862019,Atmospheric & space scientists,505975060.7027027,145983681.68033904
1341,"Hamilton & Fairfield Cities PUMA, OH",80753573.08621465,Firstline supervisors of police & detectives,387163112.37931037,146626147.25385883
1342,"Williamson County (North)Georgetown (East) & Taylor Cities PUMA, TX",80684794.74774869,Architectural & engineering managers,958689632.3571429,271146679.44610673
1343,"Norfolk City (Northeast) PUMA, VA",80660502.78442398,Surgeons,1024241067.0,571660495.1726127
1344,"York (West) & Cumberland (West) Counties PUMA, ME",80632963.84140818,Industrial production managers,729259652.7692306,156312696.47488225
1345,"Rockford City PUMA, IL",80620982.1763913,Physicians,808629159.1616766,418213885.2623563
1346,"Putnam & St. Johns (South) Counties PUMA, FL",80620965.71704285,Personal financial advisors,975077573.6842105,224327492.92839324
1347,"Kalamazoo County (Outer) PUMA, MI",80604294.76644859,Chief executives & legislators,460021805.7330509,285675917.3191395
1348,"DeLand, DeBary Cities & Pierson Town PUMA, FL",80604129.14437315,Physicians,975077501.3592234,418213885.2623563
1349,"Lakewood City & Joint Base Lewis-McChord PUMA, WA",80571617.3915651,"Lawyers, & judges, magistrates, & other judicial workers",403550995.9,251695543.47547695
1350,"Maury, Bedford & Marshall Counties PUMA, TN",80530733.01214081,Physicians,531586884.40677965,418213885.2623563
1351,"Lafourche & Assumption Parishes PUMA, LA",80502630.1660121,Personal financial advisors,642054585.945946,224327492.92839324
1352,"Sussex County PUMA, DE",80487321.68589027,"Lawyers, & judges, magistrates, & other judicial workers",620984454.6334311,251695543.47547695
1353,"Henry County (South)McDonough City PUMA, GA",80484297.85300194,"Agents & business managers of artists, performers, & athletes",512120513.28,105882405.4235695
1354,"Deerfield, Pompano Beach (North) & Lighthouse Point Cities PUMA, FL",80457290.28713356,Financial managers,373882527.6573034,186102768.20035145
1355,"Doral, Sweetwater Cities & Fontainebleau PUMA, FL",80449627.97720875,Budget analysts,512120540.6197183,140865926.02007562
1356,"Bluegrass Area Development District (South) PUMA, KY",80420284.4407553,Physicians,815295871.1641791,418213885.2623563
1357,"Allegan County PUMA, MI",80419744.34769972,Veterinarians,409696426.8,171603331.8240765
1358,"Islip Town (Northwest) PUMA, NY",80418248.31174093,General & operations managers,340884717.66197187,159600529.72584003
1359,"Lehigh Acres & North Fort Myers PUMA, FL",80394159.08895467,Personal financial advisors,975077509.0714285,224327492.92839324
1360,"Warren & Washington Counties PUMA, NY",80372617.99338126,Physicians,493062400.5530146,418213885.2623563
1361,"Maricopa County (West) & Gila River Indian Community (Northwest) PUMA, AZ",80367477.31923707,Medical & health services managers,415265466.46753234,150928545.6935578
1362,"Smith County (Outside Tyler City) PUMA, TX",80358630.44150984,Firstline supervisors of food preparation & serving workers,568643081.9347826,46954792.46382324
1363,"Northeast Kansas PUMA, KS",80355615.43252388,"Lawyers, & judges, magistrates, & other judicial workers",899283657.5,251695543.47547695
1364,"Oak Ridge City (West) PUMA, TN",80352660.050402,Real estate brokers & sales agents,604409279.2473868,86949545.40354295
1365,"Stockton City (South) PUMA, CA",80350800.8425464,Dentists,1157392388.7457626,258225172.68799314
1366,"Faulkner & Lonoke Counties PUMA, AR",80262323.34661148,"Agents & business managers of artists, performers, & athletes",864459455.5068493,105882405.4235695
1367,"Forest Park City, White Oak, Bridgetown & Finneytown PUMA, OH",80260060.03149958,Physicians,884944297.5882354,418213885.2623563
1368,"Glynn Camden & McIntosh Counties PUMA, GA",80237879.21251808,Construction managers,964835084.238806,125294177.04186851
1369,"Washington Heights, Inwood & Marble Hill PUMA, NY",80192201.58229305,Other financial clerks,531429369.75,154601498.81592458
1370,"Jersey Village CityBetween Beltway TX-8 & FM-1960 PUMA, TX",80170245.60908943,"Child, family, and school social workers",331854126.20689654,81422060.67741755
1371,"Chelan & Douglas Counties PUMA, WA",80168670.24529374,Flight attendants,1067259281.5813954,83867012.9199675
1372,"Forest Acres City & Dentsville PUMA, SC",80160035.0917936,Nuclear medicine technologists and medical dosimetrists,862410996.9230769,268817089.05138195
1373,"Potter CountyAmarillo City (North) PUMA, TX",80150733.6414165,Surgeons,958689646.8000001,571660495.1726127
1374,"Clay, Polk, Roseau, Pennington, Marshall, Norman, Kittson & Red Lake Counties PUMA, MN",80137989.32583345,Physicians,997610821.5,418213885.2623563
1375,"Georgia Mountains Regional Commission (North & Northwest) PUMA, GA",80110108.94611269,Aircraft pilots & flight engineers,964835080.4324324,233771261.06901407
1376,"Imperial Calcasieu Regional Planning & Development District 2 (South) PUMA, LA",80107065.25875963,Personal financial advisors,436925030.39175254,224327492.92839324
1377,"Inside Loop I-410 PUMA, TX (79500US4805902)",80105177.46015106,Management analysts,743882673.8153846,144421115.31703618
1378,"Vista City PUMA, CA",80072008.54267229,Financial managers,351717060.8035714,186102768.20035145
1379,"East Montana (Outside Billings City) PUMA, MT",80067996.9846072,Credit analysts,790714121.2017167,131523613.18935926
1380,"LaSalle County PUMA, IL",80058021.05410057,Electrical powerline installers & repairers,358484381.43157893,132427637.0014905
1381,"Sterling Heights City PUMA, MI",80051901.42412958,Riggers,874701843.7297297,81576290.54618551
1382,"Shawnee (Outside Topeka City), Osage, Jackson, Brown & Wabaunsee Counties PUMA, KS",80041300.62444627,Human resources managers,740311104.8571429,146374673.5856089
1383,"Rialto City PUMA, CA",80030348.30918631,Training & development specialists,1157392451.3793101,104997379.77448316
1384,"Hillsborough County (Northeast) PUMA, FL",80020102.21190935,Logisticians,544311804.4915254,103924443.86416192
1385,"Kansas City (North Central), Gladstone City & North Kansas City PUMA, MO",80010356.20514429,Chief executives & legislators,284926664.8167939,285675917.3191395
1386,"Lemon Grove City, La Presa & Spring Valley PUMA, CA",79995349.57381415,Physicians,532605368.7731092,418213885.2623563
1387,"Minneapolis City (Southeast) PUMA, MN",79986465.26044828,General & operations managers,512395963.0336135,159600529.72584003
1388,"St. Clair & Blount Counties PUMA, AL",79965985.19040498,"Lawyers, & judges, magistrates, & other judicial workers",800956549.6666667,251695543.47547695
1389,"Bossier & Webster Parishes PUMA, LA",79965260.2465013,"Miscellaneous engineers, including nuclear engineers",794811085.0666668,174746885.31786102
1390,"Beaver County (South) PUMA, PA",79950496.83298394,"Petroleum, mining & geological engineers, including mining safety engineers",995562392.923077,246614991.21165854
1391,"Hollywood (South) & Pembroke Pines (East) Cities PUMA, FL",79937050.92945403,Artists & related workers,450666066.13533837,52177021.9672297
1392,"Escambia County (North) PUMA, FL",79907691.20372976,"Surveyors, cartographers, & photogrammetrists",512120544.2553191,100283075.08907598
1393,"Kansas City (South) PUMA, MO",79891781.57071425,Chiropractors,852168554.9629631,119155080.62719586
1394,"Lincoln & Cleveland (East) Counties PUMA, NC",79880655.99246666,Dentists,846023124.375,258225172.68799314
1395,"Durham City (North) PUMA, NC",79878150.54865572,Physicians,404862100.9201349,418213885.2623563
1396,"Pittsburgh City (South) PUMA, PA",79826728.07761636,Chief executives & legislators,408237387.3162393,285675917.3191395
1397,"Shawnee City PUMA, OK",79824549.72485937,Counter & rental clerks,846023200.1999999,42915172.93598715
1398,"Riverside City (West) PUMA, CA",79818623.40560618,Secondary school teachers,900373770.6323906,89885467.25966594
1399,"Beaches & Merritt Island PUMA, FL",79791960.91997229,Actuaries,389211611.5051546,265049587.04010835
1400,"Richmond County PUMA, GA",79764084.81502894,Diagnostic medical sonographers,964835044.0,149349949.37101868
1401,"St. Bernard, Jefferson (South) & Plaquemines Parishes PUMA, LA",79739751.97144268,"Lawyers, & judges, magistrates, & other judicial workers",625111967.7931035,251695543.47547695
1402,"West Valley City (East), Taylorsville & Murray (West) Cities PUMA, UT",79715226.28354202,Coaches and scouts,860362540.5714285,46725549.10808012
1403,"Smyrna Town & La Vergne City PUMA, TN",79708353.43278395,"Models, demonstrators, & product promoters",430181245.98058254,24444275.858794224
1404,"Cullman & Winston Counties PUMA, AL",79706963.37645482,"Maintenance workers, machinery",800956565.7142859,86520468.37213516
1405,"Pinellas County (North Central) PUMA, FL",79705845.36002572,Physicians,638838260.7864407,418213885.2623563
1406,"Wade Hampton & Berea PUMA, SC",79679030.31641935,Surgeons,862410992.0625,571660495.1726127
1407,"Cerro Gordo, Floyd, Kossuth, Hancock, Winnebago, Mitchell & Worth Counties PUMA, IA",79658275.37134765,Surgeons,827586806.4,571660495.1726127
1408,"Winnebago County PUMA, WI",79643621.6751269,Architectural & engineering managers,409696440.50847465,271146679.44610673
1409,"Green Bay City PUMA, WI",79605019.33295426,Physicians,899283694.4223107,418213885.2623563
1410,"Golden Crescent Regional Planning Commission (North) & Wilson & Karnes Counties PUMA, TX",79604080.03819244,Aircraft pilots & flight engineers,486815768.4705882,233771261.06901407
1411,"Lebanon County PUMA, PA",79570815.55357298,Cost estimators,479826824.5882353,119224414.19934453
1412,"St. Clair Shores, Roseville & Eastpointe Area PUMA, MI",79562050.22745818,Sales engineers,409696454.6896552,219954122.53236544
1413,"La Plata, Montezuma, Gunnison, Archuleta, Dolores, Hinsdale & San Juan Counties PUMA, CO",79444690.98773476,Physicians,1020144146.9508197,418213885.2623563
1414,"Dearborn & Dearborn Heights Cities PUMA, MI",79441363.71245292,Pharmacists,359550231.70731705,179214605.3943039
1415,"Chester City PUMA, PA",79350239.11214153,"Architects, except landscape and naval",491635707.66666657,157537300.90291384
1416,"New Orleans City (Central) PUMA, LA",79348828.34292957,Credit counselors & loan officers,688959513.922179,137235832.17932606
1417,"Oak Ridge (East) & Clinton Cities PUMA, TN",79340532.40812565,Surgeons,901332165.9200001,571660495.1726127
1418,"Chatham County (West Central)Savannah City PUMA, GA",79326462.17635673,Surgeons,964835123.2941177,571660495.1726127
1419,"Lawrence City PUMA, KS",79312016.25682728,Dentists,899283671.7108434,258225172.68799314
1420,"Nampa (Central & East) & Meridian (West) Cities PUMA, ID",79307563.20699984,Surgeons,811198944.1839081,571660495.1726127
1421,"Highland Springs, East Highland Park & Glen Allen PUMA, VA",79298872.6892081,Computer & information systems managers,403550975.67999995,207310144.3027507
1422,"Cuyahoga Falls (Southeast), Stow & Tallmadge Cities PUMA, OH",79290888.08608557,"Tailors, dressmakers, & sewers",368726770.3370786,32318438.48070046
1423,"Bozeman City PUMA, MT",79252785.9732934,"Petroleum, mining & geological engineers, including mining safety engineers",790714089.1304348,246614991.21165854
